code,term
84537008,Chronic ischemic heart disease
846668006,Acute ST segment elevation myocardial infarction due to occlusion of diagonal branch of anterior descending branch of left coronary artery
846683001,Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery
85284003,"Angina, class III"
868214006,Acute ST segment elevation myocardial infarction due to occlusion of proximal portion of right coronary artery
868217004,Acute ST segment elevation myocardial infarction due to occlusion of distal portion of right coronary artery
868220007,Acute ST segment elevation myocardial infarction due to occlusion of mid portion of right coronary artery
868224003,Acute ST segment elevation myocardial infarction due to occlusion of marginal branch of right coronary artery
868225002,Acute ST segment elevation myocardial infarction due to occlusion of posterior descending branch of right coronary artery
868226001,Acute ST segment elevation myocardial infarction due to occlusion of posterior lateral branch of right coronary artery
87343002,Prinzmetal angina
879781000,Telehealth monitoring for ischemic heart disease
879955009,Myocardial infarction with non-obstructive coronary artery
89323001,"Angina, class IV"
896689003,Acute myocardial infarction due to occlusion of circumflex branch of left coronary artery
896691006,Acute ST segment elevation myocardial infarction due to occlusion of circumflex branch of left coronary artery
896696001,Acute ST segment elevation myocardial infarction of apex of heart
896697005,Acute ST segment elevation myocardial infarction of right ventricle
