code,term
1193821007,Product containing only amlodipine and lisinopril
1193822000,Product containing amlodipine and lisinopril in oral dose form
1193823005,Product containing only amlodipine and lisinopril in oral dose form
1193824004,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and lisinopril 20 milligram/1 each conventional release oral tablet
1193825003,Product containing precisely amlodipine (as amlodipine besilate) 10 milligram and lisinopril 20 milligram/1 each conventional release oral tablet
1201814000,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and indapamide 1.5 milligram/1 each conventional release and prolonged-release oral tablet
1208582009,Product containing precisely hydrochlorothiazide 25 milligram and quinapril (as quinapril hydrochloride) 20 milligram/1 each conventional release oral tablet
1208583004,Product containing precisely hydrochlorothiazide 12.5 milligram and quinapril (as quinapril hydrochloride) 20 milligram/1 each conventional release oral tablet
1208678000,Product containing precisely aliskiren (as aliskiren fumarate) 150 milligram and valsartan 160 milligram/1 each conventional release oral tablet
1208679008,Product containing precisely aliskiren (as aliskiren fumarate) 300 milligram and valsartan 320 milligram/1 each conventional release oral tablet
1209039006,Product containing precisely esmolol hydrochloride 250 milligram/1 milliliter conventional release solution for infusion and/or injection
1209123002,Product containing precisely nimodipine 200 microgram/1 milliliter conventional release solution for infusion and/or injection
1216967007,Product containing amlodipine and atenolol
1216968002,Product containing only amlodipine and atenolol
1216969005,Product containing amlodipine and atenolol in oral dose form
1216970006,Product containing only amlodipine and atenolol in oral dose form
1216971005,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and atenolol 50 milligram/1 each conventional release oral tablet
1217234006,Product containing precisely hydrochlorothiazide 12.5 milligram and nebivolol (as nebivolol hydrochloride) 5 milligram/1 each conventional release oral tablet
1217235007,Product containing hydrochlorothiazide and nebivolol
1217236008,Product containing only hydrochlorothiazide and nebivolol
1217237004,Product containing hydrochlorothiazide and nebivolol in oral dose form
1217238009,Product containing only hydrochlorothiazide and nebivolol in oral dose form
1217308000,Levamlodipine
1217323005,Product containing precisely levamlodipine (as levamlodipine besilate) 2.5 milligram/1 each conventional release oral tablet
1217324004,Levamlodipine besilate
1217325003,Product containing levamlodipine
1217326002,Product containing only levamlodipine
1217327006,Product containing levamlodipine in oral dose form
1217328001,Product containing only levamlodipine in oral dose form
1217353003,Product containing metoprolol and telmisartan
1217354009,Product containing only metoprolol and telmisartan
1217355005,Product containing metoprolol and telmisartan in oral dose form
1217356006,Product containing only metoprolol and telmisartan in oral dose form
1217357002,Product containing precisely metoprolol tartrate (as metoprolol succinate) 50 milligram and telmisartan 40 milligram/1 each conventional release and prolonged-release oral tablet
1217567006,Terazosin hydrochloride dihydrate
12208001,Syrosingopine
12218006,Diltiazem hydrochloride
1230172000,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and lisinopril 5 milligram/1 each conventional release oral tablet
1231347000,Product containing gabapentin and nortriptyline
1231348005,Product containing only gabapentin and nortriptyline
1231349002,Product containing gabapentin and nortriptyline in oral dose form
1231350002,Product containing only gabapentin and nortriptyline in oral dose form
1231351003,Product containing precisely gabapentin 100 milligram and nortriptyline (as nortriptyline hydrochloride) 10 milligram/1 each conventional release oral tablet
1231352005,Product containing precisely gabapentin 400 milligram and nortriptyline (as nortriptyline hydrochloride) 10 milligram/1 each conventional release oral tablet
1231353000,Product containing gabapentin and mecobalamin
1231354006,Product containing only gabapentin and mecobalamin
1231355007,Product containing gabapentin and mecobalamin in oral dose form
1231356008,Product containing only gabapentin and mecobalamin in oral dose form
1231357004,Product containing precisely gabapentin 300 milligram and mecobalamin 500 microgram/1 each conventional release oral tablet
1231401009,Product containing precisely levamlodipine (as levamlodipine besilate) 5 milligram/1 each conventional release oral tablet
1231402002,Product containing atenolol and levamlodipine
1231403007,Product containing only atenolol and levamlodipine
1231404001,Product containing atenolol and levamlodipine in oral dose form
1231405000,Product containing only atenolol and levamlodipine in oral dose form
1231406004,Product containing precisely atenolol 50 milligram and levamlodipine (as levamlodipine besilate) 2.5 milligram/1 each conventional release oral tablet
1231407008,Product containing precisely atenolol 50 milligram and levamlodipine (as levamlodipine besilate) 5 milligram/1 each conventional release oral tablet
1231531001,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and metoprolol tartrate (as metoprolol succinate) 50 milligram/1 each conventional release and prolonged-release oral tablet
1231532008,Product containing amlodipine and metoprolol
1231533003,Product containing only amlodipine and metoprolol
1231534009,Product containing amlodipine and metoprolol in oral dose form
1231535005,Product containing only amlodipine and metoprolol in oral dose form
1231736009,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and metoprolol tartrate (as metoprolol succinate) 25 milligram/1 each conventional release and prolonged-release oral tablet
1231777008,Product containing precisely amlodipine (as amlodipine besilate) 2.5 milligram and metoprolol tartrate (as metoprolol succinate) 25 milligram/1 each conventional release and prolonged-release oral tablet
1236889001,Product containing hydrochlorothiazide and levamlodipine
1236890005,Product containing only hydrochlorothiazide and levamlodipine
1236891009,Product containing hydrochlorothiazide and levamlodipine in oral dose form
1236892002,Product containing only hydrochlorothiazide and levamlodipine in oral dose form
1236893007,Product containing precisely hydrochlorothiazide 12.5 milligram and levamlodipine (as levamlodipine besilate) 2.5 milligram/1 each conventional release oral tablet
1236899006,Product containing precisely cilnidipine 10 milligram and olmesartan medoxomil 20 milligram/1 each conventional release oral tablet
1240343008,(S)-metoprolol
1240358000,Product containing precisely levamlodipine (as levamlodipine besilate) 2.5 milligram and (S)-metoprolol tartrate (as (S)-metoprolol succinate) 25 milligram/1 each conventional release and prolonged-release oral tablet
1240360003,(S)-metoprolol succinate
1240361004,(S)-metoprolol tartrate
1240366009,Product containing levamlodipine and metoprolol
1240367000,Product containing only levamlodipine and metoprolol
1240368005,Product containing levamlodipine and metoprolol in oral dose form
1240369002,Product containing only levamlodipine and metoprolol in oral dose form
1240375006,Product containing precisely levamlodipine (as levamlodipine besilate) 5 milligram and (S)-metoprolol tartrate (as (S)-metoprolol succinate) 25 milligram/1 each conventional release and prolonged-release oral tablet
1255029003,Product containing precisely ramipril 500 microgram/1 milliliter conventional release oral solution
125691000,Sotalol hydrochloride
125709001,Atipamezole hydrochloride
126071000,Ergometrine
126072007,Ergometrine maleate
126074008,Methylergometrine
126075009,Methylergometrine maleate
126152000,Metipranolol hydrochloride
1268952004,Bosentan anhydrous
1268982005,Cilazapril anhydrous
